[ 2015-12-09T09:03:20+08:00 ]NOTICE: Undefined variable: gooodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (291).
[ 2015-12-09T11:15:51+08:00 ]NOTICE: implode() [<a href='function.implode'>function.implode</a>]: Invalid arguments passedD:\wamp\www\shangcheng\App\Home\Controller\GoodsController.php (80).
[ 2015-12-09T13:33:41+08:00 ]NOTICE: Undefined index: cartD:\wamp\www\shangcheng\App\Home\Controller\GoodsController.php (81).
[ 2015-12-09T14:04:30+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (185).
[ 2015-12-09T14:04:30+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (190).
[ 2015-12-09T14:04:30+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (199).
[ 2015-12-09T14:04:30+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (219).
[ 2015-12-09T14:04:30+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (223).
[ 2015-12-09T14:05:33+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (185).
[ 2015-12-09T14:05:33+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (190).
[ 2015-12-09T14:05:33+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (199).
[ 2015-12-09T14:05:33+08:00 ]NOTICE: Undefined variable: goodsD:\wamp\www\shangcheng\Storage\view\compile\9bdc46234dd8d31c151aa4ad10b10f3b.php (219).
