[ 2015-12-12T00:21:09+08:00 ]NOTICE: Undefined variable: gdataD:\wamp\www\shangcheng\Storage\view\compile\d70fc87478e4f8cefad9bd064fc2d4b8.php (30).
[ 2015-12-12T00:21:09+08:00 ]NOTICE: Invalid argument supplied for foreach()D:\wamp\www\shangcheng\Storage\view\compile\d70fc87478e4f8cefad9bd064fc2d4b8.php (30).
[ 2015-12-12T14:28:32+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (18).
[ 2015-12-12T14:28:32+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (27).
[ 2015-12-12T14:28:32+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\Storage\view\compile\86589e6ffc089c870bf9bba1f5f8f654.php (37).
[ 2015-12-12T14:49:09+08:00 ]EXCEPTION: Admin\Controller\OrderController 不存在
[ 2015-12-12T15:28:06+08:00 ]NOTICE: Undefined variable: uidD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (106).
[ 2015-12-12T15:28:20+08:00 ]NOTICE: Undefined variable: uidD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (106).
[ 2015-12-12T15:29:15+08:00 ]NOTICE: Undefined variable: uidD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (106).
[ 2015-12-12T15:30:10+08:00 ]NOTICE: Undefined variable: uidD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (106).
[ 2015-12-12T15:39:39+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:39:39+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:39:39+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:39:39+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:39:39+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:39:39+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:39:39+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:49:35+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:49:35+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:49:35+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:49:35+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:49:35+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:49:35+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T15:49:35+08:00 ]NOTICE: Undefined index: D:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (199).
[ 2015-12-12T16:46:22+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (103).
[ 2015-12-12T16:46:22+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\App\Home\Controller\MemberController.php (105).
[ 2015-12-12T16:46:22+08:00 ]NOTICE: Undefined index: preusernameD:\wamp\www\shangcheng\Storage\view\compile\bfd35119999a3fff34327f0e31c12e02.php (43).
